id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 9
f1407407-ab76-4e2b-9ef9-246e30034245,IRWIN,2023-01-06 18:38,"RRU, CACTUS AV / ELSWORTH ST IC Riverside",RVC,LOCAL,Riverside,6,"33.9102368946688, -117.270205010196",Urban,Rawaf,"Also, old: ""FireDiscoveryDateTime: 2023-01-06 18:07 PST""",
e1fca12d-b917-4f40-8abb-cc6953908031,IRWIN,2023-01-06 19:01,"RRU, WORLD LOGISTICS CENTER PY / ALESSANDRO BL IC Riverside",RVC,LOCAL,Riverside,6,"33.9179279028409, -117.139415988243",Agriculture / farm,Rawaf,,
f8a6178b-d354-47fc-a686-f241a80237f6,IRWIN,2023-01-06 23:07,"RRU, ADRIENNE AV  MOVA IC Riverside",RVC,LOCAL,Riverside,6,"33.9181928959885, -117.262917009578",,,,
ca77bc55-8cf9-47b0-9d23-3fa585590ea0,IRWIN,2023-01-07 04:07,"RRU, WESTON IC Riverside",RRU,STATE,Riverside,6,"33.7901158814429, -117.259554998788",,,,
fd1d72bf-2079-4868-aa25-1831f24a2672,IRWIN,2023-01-07 08:31,"RRU, VAN BUREN BL / 56TH ST IC Riverside",RVC,LOCAL,Riverside,6,"33.9864288916647, -117.479685052315","Other non-veg (e.g., vehicle, trash, etc)",Rawaf,Homeless encampment fire. Contained upon arrival.,
1382289626,PulsePoint,2023-01-07 10:20,"LAC, W AVENUE H & N 20TH ST W, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.718759999999996, -118.16617999999998",Urban,Rawaf,,
88d126cd-1faa-4ae6-bf70-cd2437b7b148,IRWIN,2023-01-07 11:15,"RRU, CHRISTINE ST  WINC IC Riverside",RRU,STATE,Riverside,6,"33.6357478717706, -117.110224960882","Other non-veg (e.g., vehicle, trash, etc)",Rawaf,"IC reports possible illegal burn, staging resources... Confirmed illegal burn.",
1382335371,PulsePoint,2023-01-07 11:30,"LAC, E AVENUE U-10 & 80TH ST E, LITTLEROCK",LAC,STATE,Los Angeles,1,"34.51914, -117.98808000000001",Knockdowns,Rawaf,"Also, manager informs it's unfavourable conditions for fire... Single unit handling.",
1382398294,PulsePoint,2023-01-07 12:40,"LAC, N SIERRA HWY & E AVENUE L, LANCASTER",LAC,LOCAL,Los Angeles,1,"34.66026, -118.13052999999998",,,,
f30cf2aa-e8bf-467c-9b06-3662dfdefed1,IRWIN,2023-01-07 12:50,"CDD, FA-CA-CDD-000412 IC San Bernardino",BDU,LOCAL,San Bernardino,6,"34.1051149634207, -116.446411882414",,,,
