id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1eb38c8c-ef01-4e0e-a44f-5ef3d7a500b1,IRWIN,2024-02-27 06:37,"RVC, BOX SPRINGS RD OFRP  / BOX SPRINGS RD IC Riverside",RVC,LOCAL,Riverside,6.0,"33.9486458973609, -117.300904018567",,,,,,,,,
30312a96-0129-4ac2-9758-19e08b0f6f66,IRWIN,2024-02-27 08:05,"RRU, LOUISE ST  GOOD IC Riverside",RRU,STATE,Riverside,6.0,"33.7683078780825, -117.274906999706",Weather,AV ,,,,,,,
1c499021-5a14-4511-9f76-aeb2fa5d5c55,IRWIN,2024-02-27 11:22,"BEU, BRYSON IC Monterey",BEU,STATE,Monterey,2.0,"35.8114848634113, -121.084116802915",No potential / nowhere to go,Dawn,"nothing on cams, a little old",,,,,,
8f3c83ae-c146-4557-9433-821072aab7d8,IRWIN,2024-02-27 11:34,"SHF, CINDER IC Siskiyou",SHF,FEDERAL,Siskiyou,3.0,"41.4896722476348, -122.210963684094",Other - Enter reason,Dawn,burn pile,,,,,,
c1b2478d-d311-401b-8d52-09eeaff4a4b4,IRWIN,2024-02-27 13:35,"SLU, HIGHLAND IC San Luis Obispo",SLU,STATE,San Luis Obispo,1.0,"35.0833438312182, -120.486961641068",,AV ,,,,,,,
b357bd60-5ed7-4c17-9a6b-f546d8cbcb9d,IRWIN,2024-02-27 14:22,"COT, SMITH IC Shasta",COT,LOCAL,Shasta,3.0,"40.3856571586924, -122.302746534118",Knockdowns,Dawn,,,,,,,
6b8c2b08-5231-4f70-a5cc-37add1c9086e,IRWIN,2024-02-27 15:11,"CZU, EMPIRE GRADE RD / FEATHER LN IC Santa Cruz",CZU,STATE,Santa Cruz,2.0,"37.0665329059502, -122.122594091006",Knockdowns,Dawn,,,,,,,
7d57b295-1ad2-4f66-87c4-67f04d3a8e42,IRWIN,2024-02-27 16:24,"RVC, SHORELINE DR  LELS IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6560878596836, -117.374454007992",Nothing on radio,Dawn,nothing on cams,,,,,,
1760432152,PulsePoint,2024-02-27 18:57,"LAC, E PALMDALE BLVD & N 3RD ST E, PALMDALE",LAC,LOCAL,Los Angeles,1.0,"34.57985, -118.12489000000001",,,,,,,,,
1760439890,PulsePoint,2024-02-27 19:08,"LAC, 227TH ST E & E AVENUE I, HI VISTA",LAC,LOCAL,Los Angeles,1.0,"34.70438, -117.72601",,,,,,,,,
