id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
{5E09AFAE-BFAA-4B88-AC9E-DE93A0D8F3A4},Intterra FIRIS,2024-07-21 14:45,224ac CA-RVC-HAWARDEN-N43U_072120242103Z PERIM,RIV,LOCAL,Riverside,6.0,"33.93107202408018, -117.37118432964586",,Plane ,,,,,,,,,,,,,,,
{1467FBB9-8EFE-47E2-8570-AD9D6122AD8A},Intterra FIRIS,2024-07-21 14:45,224ac CA-RVC-HAWARDEN-N43U_072120242103Z PERIM,RIV,LOCAL,Riverside,6.0,"33.93060488920575, -117.36499024767767",,Plane ,,,,,,,,,,,,,,,
{26E60E6E-DDDA-46FB-B656-9C8C04439C81},Intterra FIRIS,2024-07-21 14:45,224ac CA-RVC-HAWARDEN-N43U_072120242103Z PERIM,RIV,LOCAL,Riverside,6.0,"33.93163602106469, -117.37063602746075",,Plane ,,,,,,,,,,,,,,,
{40759D35-E356-493D-8210-A05EB6213FC8},Intterra FIRIS,2024-07-21 14:45,224ac CA-RVC-HAWARDEN-N43U_072120242103Z PERIM,RIV,LOCAL,Riverside,6.0,"33.92705655207116, -117.36331635031324",,Plane ,,,,,,,,,,,,,,,
g16-2024-07-21T21:46:18+00:00,GOES,2024-07-21 14:46,"Processed, Riverside County, 141 MW",RRU,STATE,Riverside,6.0,"33.8282, -117.4892",Other - Enter reason,AV ,Couldn't find new fires,,,,,,,,,,,,,,
g16-2024-07-21T21:56:18+00:00,GOES,2024-07-21 14:56,"Processed, Riverside County, 54 MW",CDD,LOCAL,Riverside,6.0,"33.6017, -116.2635",Dirt / desert,AV,,,,,,,,,,,,,,,
ID-2024-07-21T21:51:30Z_0057,NGFS,2024-07-21 14:57,"Butte County, CA",BTU,STATE,Butte,3.0,"39.61297245432593, -121.20493294679487",Nothing on cameras,Rawaf,,,,,,,,,,,,,,,
4d41d019-76e5-4951-a4b4-1dff219b9d49,IRWIN,2024-07-21 15:04,"RRU, TOMS FARM COR IC Riverside",RRU,STATE,Riverside,6.0,"33.7725348668103, -117.487926036612",Other - Enter reason,AV ,We couldn't find new fires ,,,,,,,,,,,,,,
ID-2024-07-21T22:01:30Z_0041,NGFS,2024-07-21 15:07,"Siskiyou County, CA",SHF,FEDERAL,Siskiyou,3.0,"41.435993561367816, -121.87733994970802",Nothing on cameras,Rawaf,Cameras far away.,,,,,,,,,,,,,,
ID-2024-07-21T22:06:30Z_0065,NGFS,2024-07-21 15:12,"Inyo County, CA",DVP,FEDERAL,Inyo,6.0,"36.65119720486013, -117.71928522906832",Nothing on radio,AV,,,,,,,,,,,,,,,
50a41bf6-acf2-41c8-96f7-a4b11a7dd61a,IRWIN,2024-07-21 15:17,"TNF, EB I80 AND CISCO GROVE TRUCKEE_FD IC Placer",TNF,FEDERAL,Placer,4.0,"39.3097172146729, -120.544150113652",Pushed,Rawaf,NEU Cisco IC: ,,,,,,,,,,,,,,
62ecfd98-7381-4d69-9c30-d5410064e17e,IRWIN,2024-07-21 15:17,"TIA, NAVAJO IC Tulare",TIA,FEDERAL,Tulare,5.0,"36.0241910314244, -118.807101458124",Nothing on cameras,AV,,,,,,,,,,,,,,,
{9B779275-F018-4EE7-AAB8-543EDEE63723},Intterra FIRIS,2024-07-21 15:21,321ac CARVC-EAGLE-N43U_072120242157Z PERIM,RRU,STATE,Riverside,6.0,"33.82208003244501, -117.489217417292",,Planes ,,,,,,,,,,,,,,,
0d373b83-412e-4b1f-b51c-8d788b57acac,IRWIN,2024-07-21 15:43,"TNF, NEU-CISCO IC Placer",TNF,FEDERAL,Placer,4.0,"39.3097172146729, -120.544150113652",Other - Enter reason,Rawaf,Repeat 15:17 NEU Cisco IC,,,,,,,,,,,,,,
{23DC3561-6EA5-4E59-BD18-5A67AE488415},Intterra FIRIS,2024-07-21 16:07,485ac CA-RVC-HAWARDEN-N43U_072120242230Z PERIM,RIV,LOCAL,Riverside,6.0,"33.926915146280926, -117.3484077257633",,Planes,,,,,,,,,,,,,,,
{876F404D-619B-4FDC-9618-43D6243544CF},Intterra FIRIS,2024-07-21 16:07,485ac CA-RVC-HAWARDEN-N43U_072120242230Z PERIM,RIV,LOCAL,Riverside,6.0,"33.920807309711904, -117.34852543544314",,Planes,,,,,,,,,,,,,,,
